Unnamed: 0,mchnt_cd,mchnt_cd_id,mchnt_net_id,cen_betweenness,degree_centrality,closeness_centrality,current_flow_closeness_centrality,information_centrality,load_centrality,harmonic_centrality,approximate_current_flow_betweenness_centrality,density_factor,c_name,count,count_N,per_amt,large_amt,cv_amt,amt_d1_d2,cnt_d3_d4,sd_d5_d6,time1_cnt_w1_w2,time2_cnt_w1_w2,time_cnt_per_N2,time_cnt_per_N2_2,time_cnt_per_N2_3,time_cnt_per_N2_4,time_cnt_per_N2_5,time_cnt_per_N2_6,entropy,count_payee,sum_amt,large_cnt_per,large_amt_per,sum_amt_a,count_a,sum_large,large_max,sd_amt,mean_amt,amt_d1,amt_d2,cnt_d1,cnt_d2,amt_d3,amt_d4,cnt_d3,cnt_d4,time1_cnt_w1,time1_cnt_w2,time1_amt_w1,time1_amt_w2,time2_cnt_w1,time2_cnt_w2,time2_amt_w1,time2_amt_w2,sd_d5,sd_d6,time_amt_N2_t,time_cnt_N2_t,time_amt_N2_t2,time_cnt_N2_t2,time_amt_N2_t3,time_cnt_N2_t3,time_amt_N2_t4,time_cnt_N2_t4,time_amt_N2_t5,time_cnt_N2_t5,time_amt_N2_t6,time_cnt_N2_t6,time_amt_N2_all,time_cnt_N2_all,sum_amt_w,count_w,0,1,2,3,4,5,6,7,8,9
934,0004910F2271060,1164,1125,9.81e-06,0.157242448,0.5052837570000001,0.006162696,0.006162696,9.93e-06,724.4761905,0.000552171,5.409829564,消费金融,126,29.370629370629395,1055.83333333333,0,0.0232188447473381,0.5273023634881829,0.524590163934426,1.34710313376596,,0.688524590163934,0.0,0.0,0.401639344262295,0.532786885245902,0.0491803278688525,0.0163934426229508,,114,133035.0,0.0,0.0,133035.0,126,0.0,1155.0,24.5197,1056.0246,67935.0,128835.0,64,122,67935.0,128835.0,64,122,0,0,0.0,0.0,2,3,2100.0,3150.0,33.0305,24.5197,0.0,0,0.0,0,51765.0,49,68670.0,65,6300.0,6,2100.0,2,128835.0,122,128835.0,122,-0.05725036934018135,-0.35971421003341675,-0.1475668102502823,-0.2070193886756897,-0.6932975053787231,0.4769670069217682,-0.009370086714625359,0.19371068477630615,-0.007884240709245205,0.03728606551885605
935,0004930F2245552,310,306,0.00037378300000000004,0.676219985,0.704309875,0.006353884000000001,0.006353884000000001,0.00037215699999999997,1067.12619,0.001878366,6.846502892,消费金融,3080,717.948717948718,1266.46493506494,0,2.12678602277126,0.48363836787477293,0.446524064171123,1.4953185021364999,0.758181818181818,1.08149058149058,0.0240641711229947,0.0508021390374332,0.480392156862745,0.405525846702317,0.0222816399286988,0.0169340463458111,,852,3900712.0,0.0,0.0,3900712.0,3080,0.0,99000.0,2919.8232,1372.8806,744983.0,1540372.0,501,1122,744983.0,1540372.0,501,1122,27,75,35230.0,102430.0,19,37,23917.0,47559.0,4366.0657,2919.8232,35230.0,27,76080.0,57,690951.0,539,583878.0,455,130316.0,25,23917.0,19,1540372.0,1122,1540372.0,1122,-0.02464928664267063,-0.2125445157289505,-0.07355327904224396,-0.14366716146469116,-0.7546049952507019,0.4534860849380493,0.043533410876989365,0.11525708436965942,-0.07698887586593628,0.11660274863243103
936,0005020F2271846,48,44,0.000385462,0.6754453909999999,0.702776266,0.006353814,0.006353814,0.00038376400000000003,1066.409524,0.001669493,6.845345738,消费金融,2454,572.027972027972,1395.81964955175,0,0.889956596893152,0.39788977147979704,0.38229238160604,1.61629520054674,0.907933682223747,0.830280240122962,0.0473575840768703,0.0974605353466026,0.417295813315031,0.354152367879204,0.0597117364447495,0.0240219629375429,9.917883254394779,1091,3425341.42,0.0,0.0,3425341.42,2454,0.0,50000.0,1274.1772,1431.7296,830010.0,2086030.0,557,1457,830010.0,2086030.0,557,1457,69,128,96530.0,174580.0,35,71,48720.0,95970.0,2059.4465,1274.1772,96530.0,69,198730.0,142,851410.0,608,769330.0,516,121310.0,87,48720.0,35,2086030.0,1457,2086030.0,1457,-0.11166861653327942,-0.29135775566101074,-0.07762309163808823,-0.23666545748710632,-0.6094591617584229,0.4473670721054077,0.03199928626418114,0.11071380227804184,-0.13959866762161255,-0.0355101004242897
937,0005030F2110073,165,161,2.3199999999999998e-05,0.395042603,0.579964061,0.006311656999999999,0.006311656999999999,2.2899999999999998e-05,881.4761904999999,0.000954254,6.31496075,消费金融,199,46.3869463869464,990.020100502513,0,0.0,0.37681159420289895,0.37681159420289895,,,0.0,0.0,0.0,0.5,0.449275362318841,0.0507246376811594,0.0,,120,197014.0,0.0,0.0,197014.0,199,0.0,1000.0,0.0,1000.0,52000.0,138000.0,52,138,52000.0,138000.0,52,138,0,0,0.0,0.0,0,1,0.0,7.0,0.0,0.0,0.0,0,0.0,0,69000.0,69,62000.0,62,7000.0,7,0.0,0,138000.0,138,138000.0,138,-0.22082343697547913,-0.20896385610103607,0.010450613684952259,-0.03597735986113548,-0.676552951335907,0.4277273416519165,-0.033077675849199295,0.09906370937824249,0.035065531730651855,0.050642918795347214
938,0005030F2258594,369,365,0.000458197,0.666150271,0.70010846,0.006352985,0.006352985,0.00045661599999999997,1060.87619,0.0016547439999999999,6.831637692999999,消费金融,6901,1608.6247086247101,1135.3861759165302,0,0.124534967640377,0.6085006407518149,0.607987844584328,1.02561330206232,1.02598487709293,0.908471609225896,0.0542652485348383,0.0494899066637725,0.34512698068157205,0.424354243542435,0.09832863034512701,0.0284349902322553,11.824974521768999,3889,7835300.0,0.0,0.0,7835300.0,6901,0.0,500000.0,132.8905,1067.0936,2991450.0,4916100.0,2801,4607,2991450.0,4916100.0,2801,4607,250,365,271950.0,394800.0,131,216,139650.0,229950.0,136.2942,132.8905,271950.0,250,245700.0,228,1698900.0,1590,2080050.0,1955,479850.0,453,139650.0,131,4916100.0,4607,4916100.0,4607,-0.1844872683286667,-0.1933901607990265,-0.13290375471115112,-0.17046812176704407,-0.693147599697113,0.4859427809715271,-0.04802132025361061,0.14943695068359375,-0.05426529049873352,0.16250143945217133
939,0005030F2271135,266,262,0.000868327,0.755228505,0.747539085,0.006360146999999999,0.006360146999999999,0.0008651539999999999,1118.709524,0.002011193,6.956244863999999,消费金融,8231,1918.64801864802,1346.3636374681098,0,4.7851539043791,0.525402193831201,0.44429278280157,1.49942582392127,1.03910626065893,0.759739987301445,0.0844565773758744,0.0866746289029176,0.362566114997441,0.382357959392595,0.0557925268725473,0.0281521924586248,11.1653117987609,3709,11081919.1,0.0,0.0,11081919.1,8231,0.0,500000.0,7013.8323,1465.7485,4513600.0,8590752.1,2604,5861,4513600.0,8590752.1,2604,5861,495,669,668990.0,852040.0,165,305,216230.0,363230.0,10516.7212,7013.8323,668990.0,495,680610.0,508,3586732.1,2125,3003000.0,2241,435190.0,327,216230.0,165,8590752.1,5861,8590752.1,5861,0.41685521602630615,-0.40086302161216736,-0.7580310702323914,-0.08121591061353683,-0.6525885462760925,0.6893678307533264,-0.10203763097524643,0.2515532970428467,-0.17278583347797394,-0.5235909223556519
940,0005080F1845813,403,399,2.64e-05,0.151820294,0.501359223,0.006154001,0.006154001,2.71e-05,719.2595238,0.000388824,5.37595675,消费金融,14139,261.538461538462,9091.05169340464,0,3.85791372836544,0.27935823486587896,0.40531561461794,0.173959951893477,,0.8794215360562829,0.0,0.0,0.4584717607973421,0.382059800664452,0.13953488372093,0.0199335548172757,,259,51611502.08,0.0,0.0,10200160.0,1122,0.0,1000000.0,36619.676,9492.093,798160.0,2857120.0,122,301,798160.0,2857120.0,122,301,0,0,0.0,0.0,6,17,6400.0,52880.0,6370.3571,36619.676,0.0,0,0.0,0,1768480.0,138,804240.0,115,278000.0,42,6400.0,6,2857120.0,301,2857120.0,301,-0.08685606718063354,-0.2360379844903946,-0.18235468864440918,-0.09177928417921066,-0.7175136208534241,0.5161765217781067,-0.18563105165958405,0.19351576268672943,-0.11931973695755005,-0.08104787766933441
941,0005210F1822574,9,5,0.000597312,0.710302091,0.7236547090000001,0.006356756,0.006356756,0.000596392,1089.87619,0.001881919,6.8953046979999995,消费金融,14542,2410.95571095571,1738.99158851397,0,4.43755405067288,0.54570173496794,0.511599879481772,1.19227676396946,1.14418268145502,0.977117970911282,0.0491111780656824,0.0771316661645074,0.43687857788490503,0.35944561614944304,0.0557396806266948,0.0216932811087677,8.68835518681763,2515,25545116.4,0.0,0.0,17986390.0,10343,0.0,1528481.13,10448.949,2354.6641,4264730.0,7815130.0,1698,3319,4264730.0,7815130.0,1698,3319,163,319,244230.0,479150.0,72,165,105000.0,239120.0,12458.0391,10448.949,244230.0,163,388570.0,256,3586570.0,1450,2426650.0,1193,1064110.0,185,105000.0,72,7815130.0,3319,7815130.0,3319,-0.1386914700269699,-0.13961559534072876,-0.05606640875339508,-0.15997931361198425,-0.7344545722007751,0.370304137468338,0.09540239721536636,0.024799808859825134,-0.03919782489538193,0.08997007459402084
942,0005210F1860804,937,925,0.0,0.0007745930000000001,0.312818028,0.000654365,0.000654365,0.0,415.17857139999995,0.0,1.6931471809999998,消费金融,19,2.7972027972027997,985.833333333333,0,3.0521075286224706,0.8909551986475059,0.0833333333333333,,,,0.0,0.0,0.166666666666667,0.75,0.0833333333333333,0.0,,3,35130.0,0.0,0.0,11830.0,12,0.0,10540.0,3008.8693,985.8333,10540.0,11830.0,1,12,10540.0,11830.0,1,12,0,0,0.0,0.0,0,0,0.0,0.0,,3008.8693,0.0,0,0.0,0,225.0,2,11485.0,9,120.0,1,0.0,0,11830.0,12,11830.0,12,-0.19781842827796936,-0.28014665842056274,0.018329977989196777,-0.2823704779148102,-0.704586923122406,0.4146168529987335,-0.02172948233783245,0.09225975722074509,-0.05387872830033302,0.1094493418931961
943,0005210F1990688,930,918,2.58e-05,0.333849729,0.559116501,0.006293219,0.006293219,2.58e-05,841.6428571,0.0007818289999999999,6.149168563,消费金融,829,119.81351981351999,1736.7490272373498,0,1.02355686986962,0.457361741642592,0.37951807228915707,1.325663681299,,,0.0,0.0,0.391566265060241,0.5903614457831329,0.0180722891566265,0.0,,120,1236237.9,0.0,0.0,892689.0,514,0.0,15873.0,1912.3495,1868.3373,141848.0,310144.0,63,166,141848.0,310144.0,63,166,0,0,0.0,0.0,0,0,0.0,0.0,2535.1323,1912.3495,0.0,0,0.0,0,95856.0,65,210004.0,98,4284.0,3,0.0,0,310144.0,166,310144.0,166,-0.11912916600704193,-0.1526995599269867,-0.15543986856937408,-0.29790934920310974,-0.49235785007476807,0.6676366925239563,0.06832399219274521,0.26805582642555237,-0.14151057600975037,0.085417240858078
